sku,count,width,height,depth
19010,106,21.0,9.0,57.0
28628,105,8.0,3.0,14.0
17500,104,11.0,29.0,39.0
283,104,30.0,15.0,14.0
21391,104,37.0,30.0,53.0
7926,103,19.0,6.0,9.0
25592,103,22.0,6.0,36.0
1807,103,24.0,14.0,35.0
8911,103,15.0,5.0,14.0
17788,103,22.0,16.0,32.0
11201,103,10.0,21.0,3.0
10387,102,11.0,15.0,1.0
15893,102,28.0,3.0,39.0
2763,102,35.0,14.0,28.0
20063,102,21.0,19.0,24.0
17672,101,21.0,6.0,14.0
25729,101,52.0,7.0,24.0
8905,101,32.0,30.0,15.0
7573,101,8.0,69.0,25.0
20846,100,25.0,20.0,20.0
22217,100,21.0,12.0,21.0
263,100,12.0,14.0,20.0
22275,100,18.0,12.0,34.0
29713,100,10.0,10.0,10.0
26728,100,22.0,13.0,25.0
23452,100,21.0,7.0,24.0
23072,100,40.0,26.0,59.0
16682,100,11.0,28.0,25.0
1800,99,13.0,11.0,37.0
17022,99,36.0,28.0,22.0
23509,99,16.0,9.0,20.0
24404,99,69.0,51.0,14.0
28985,99,28.0,30.0,27.0
27736,99,70.0,23.0,70.0
805,99,25.0,7.0,24.0
9601,98,24.0,4.0,18.0
14574,98,7.0,27.0,51.0
10935,98,19.0,5.0,12.0
22702,97,35.0,22.0,27.0
1215,97,16.0,17.0,8.0
10510,97,11.0,3.0,18.0
22401,97,13.0,3.0,31.0
18506,97,23.0,15.0,15.0
14738,96,41.0,21.0,18.0
4608,96,20.0,24.0,14.0
29689,96,34.0,10.0,45.0
28709,96,13.0,4.0,25.0
30795,96,10.0,10.0,10.0
23712,96,8.0,3.0,17.0
13729,96,10.0,10.0,10.0
8706,95,21.0,22.0,33.0
4836,95,31.0,8.0,16.0
11374,95,34.0,5.0,33.0
14259,95,8.0,23.0,14.0
17447,95,23.0,4.0,20.0
12712,94,9.0,7.0,10.0
18072,94,33.0,3.0,46.0
8059,93,41.0,13.0,27.0
27325,93,13.0,11.0,30.0
2317,93,26.0,15.0,26.0
30354,93,10.0,10.0,15.0
28457,93,34.0,4.0,34.0
7016,93,8.0,33.0,8.0
18613,93,18.0,12.0,31.0
25808,93,11.0,2.0,5.0
29596,93,69.0,50.0,25.0
4560,93,52.0,8.0,25.0
26809,93,31.0,25.0,40.0
5470,92,24.0,29.0,24.0
427,92,10.0,6.0,8.0
23453,92,41.0,25.0,49.0
1806,92,20.0,9.0,38.0
6524,92,23.0,7.0,23.0
15020,91,46.0,3.0,30.0
20915,91,10.0,25.0,44.0
26829,91,10.0,10.0,10.0
5081,91,26.0,27.0,48.0
17676,91,12.0,4.0,19.0
6540,91,11.0,27.0,25.0
17944,90,31.0,6.0,51.0
10867,90,68.0,68.0,68.0
28607,90,10.0,10.0,10.0
8648,90,12.0,5.0,13.0
14919,89,10.0,10.0,15.0
21033,89,27.0,9.0,27.0
14998,89,20.0,18.0,29.0
11096,89,43.0,23.0,19.0
23454,89,7.0,4.0,5.0
25475,89,25.0,3.0,30.0
12916,89,29.0,17.0,14.0
29629,89,28.0,20.0,53.0
14101,88,7.0,20.0,9.0
9446,88,31.0,40.0,1.0
9538,88,25.0,7.0,30.0
24403,88,45.0,15.0,66.0
15231,88,26.0,8.0,28.0
9306,88,27.0,34.0,28.0
4047,87,21.0,14.0,19.0
24918,87,35.0,12.0,24.0
27883,87,70.0,23.0,70.0
30190,87,32.0,6.0,53.0
6430,87,34.0,6.0,19.0
25587,87,7.0,35.0,17.0
27242,87,15.0,6.0,20.0
8734,86,28.0,3.0,47.0
27523,86,13.0,22.0,25.0
19508,86,35.0,12.0,21.0
17317,86,17.0,5.0,10.0
21032,86,27.0,7.0,27.0
10325,86,11.0,25.0,22.0
2690,85,49.0,3.0,20.0
14216,85,29.0,14.0,12.0
9443,85,10.0,34.0,43.0
9880,85,45.0,7.0,31.0
30498,85,68.0,38.0,68.0
1878,85,11.0,4.0,10.0
23560,85,10.0,10.0,15.0
9293,84,47.0,9.0,19.0
30127,84,10.0,10.0,10.0
4878,84,32.0,17.0,36.0
22338,83,29.0,9.0,39.0
30194,83,10.0,10.0,10.0
29875,83,18.0,29.0,26.0
6257,83,37.0,57.0,41.0
1697,83,34.0,19.0,54.0
17000,83,28.0,6.0,31.0
6341,82,30.0,31.0,30.0
24551,82,6.0,14.0,19.0
8881,82,45.0,55.0,45.0
20360,82,34.0,8.0,17.0
28531,82,70.0,23.0,70.0
19958,82,34.0,10.0,45.0
27237,82,10.0,10.0,10.0
2664,82,7.0,10.0,2.0
28083,82,62.0,8.0,36.0
26636,82,15.0,3.0,8.0
17145,82,34.0,24.0,36.0
24613,82,7.0,12.0,5.0
10548,81,15.0,22.0,15.0
4559,81,22.0,6.0,23.0
18570,81,7.0,3.0,20.0
5457,81,11.0,6.0,8.0
3938,81,32.0,47.0,40.0
17774,81,36.0,13.0,46.0
12380,81,30.0,3.0,20.0
19998,81,38.0,9.0,29.0
